,Group
baseline_0,baseline
baseline_1,baseline
baseline_2,baseline
baseline_3,baseline
baseline_4,baseline
baseline_5,baseline
baseline_6,baseline
baseline_7,baseline
baseline_8,baseline
baseline_9,baseline
baseline_10,baseline
baseline_11,baseline
baseline_12,baseline
baseline_13,baseline
baseline_14,baseline
baseline_15,baseline
baseline_16,baseline
baseline_17,baseline
baseline_18,baseline
baseline_19,baseline
baseline_20,baseline
baseline_21,baseline
baseline_22,baseline
baseline_23,baseline
baseline_24,baseline
baseline_25,baseline
baseline_26,baseline
baseline_27,baseline
baseline_28,baseline
baseline_29,baseline
baseline_30,baseline
baseline_31,baseline
baseline_32,baseline
baseline_33,baseline
baseline_34,baseline
baseline_35,baseline
baseline_36,baseline
baseline_37,baseline
baseline_38,baseline
baseline_39,baseline
baseline_40,baseline
baseline_41,baseline
baseline_42,baseline
baseline_43,baseline
baseline_44,baseline
baseline_45,baseline
baseline_46,baseline
baseline_47,baseline
baseline_48,baseline
baseline_49,baseline
baseline_50,baseline
baseline_51,baseline
baseline_52,baseline
baseline_53,baseline
baseline_54,baseline
baseline_55,baseline
baseline_56,baseline
baseline_57,baseline
baseline_58,baseline
baseline_59,baseline
low_0,low
low_1,low
low_2,low
low_3,low
low_4,low
low_5,low
low_6,low
low_7,low
low_8,low
low_9,low
low_10,low
low_11,low
low_12,low
low_13,low
low_14,low
low_15,low
low_16,low
low_17,low
low_18,low
low_19,low
low_20,low
low_21,low
low_22,low
low_23,low
low_24,low
low_25,low
low_26,low
low_27,low
low_28,low
low_29,low
low_30,low
low_31,low
low_32,low
low_33,low
low_34,low
low_35,low
low_36,low
low_37,low
low_38,low
low_39,low
low_40,low
low_41,low
low_42,low
low_43,low
low_44,low
low_45,low
low_46,low
low_47,low
low_48,low
low_49,low
low_50,low
low_51,low
low_52,low
low_53,low
low_54,low
low_55,low
low_56,low
low_57,low
low_58,low
low_59,low
high_0,high
high_1,high
high_2,high
high_3,high
high_4,high
high_5,high
high_6,high
high_7,high
high_8,high
high_9,high
high_10,high
high_11,high
high_12,high
high_13,high
high_14,high
high_15,high
high_16,high
high_17,high
high_18,high
high_19,high
high_20,high
high_21,high
high_22,high
high_23,high
high_24,high
high_25,high
high_26,high
high_27,high
high_28,high
high_29,high
high_30,high
high_31,high
high_32,high
high_33,high
high_34,high
high_35,high
high_36,high
high_37,high
high_38,high
high_39,high
high_40,high
high_41,high
high_42,high
high_43,high
high_44,high
high_45,high
high_46,high
high_47,high
high_48,high
high_49,high
high_50,high
high_51,high
high_52,high
high_53,high
high_54,high
high_55,high
high_56,high
high_57,high
high_58,high
high_59,high
