,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
baseline_0,0.4204127442092153,-0.9959768907065263,0.21523678192417323,0.47968069175058753,0.5966625165832115,0.8046091100015875,-1.0193440787690529,-0.4827947477372912,-0.694243507116177,1.6456716065804657,0.4218196012759311,-0.02538184916385293
baseline_1,1.0084652844313777,-0.33284680929291843,-0.44543424888142763,-0.3125783496546656,0.7483223913965077,0.12985865485047415,-0.28534140455225016,-1.085622079535081,-1.9492193275706369,-0.8104563028960485,-0.46108780235362407,0.7304564123594184
baseline_2,0.07267728151576242,0.37842916400571447,-1.5246941416049342,-1.1571555868905823,-0.07280117124631394,0.7542296099724112,-0.7300993143565817,0.4612270737324049,-0.24921324936272854,-0.8047873273630106,-0.38131185071264967,0.9596255373524054
baseline_3,-0.18845892027477662,-0.3428153106920825,-0.2063724805513955,0.6319584113607244,-0.10590693895773484,0.2434556397808447,-0.011139015218341352,0.4067540603578652,-0.5428526071066941,0.01635904298424177,0.8778443600911328,-0.8935436755218763
baseline_4,-0.07189457207482997,0.8571028584880487,0.22791923233303185,-0.6461087312632058,-1.6227013742018273,-0.3274145934231322,0.39306288371107645,-1.3613507700351608,-1.4606109011153698,-1.1219900875089954,-0.10400539848245981,-0.07130995368724843
baseline_5,1.304188906703152,-0.7942045385377846,-0.025192537552763856,0.02968688073177949,0.7495118265237867,0.31931874448365566,-0.24861317731518448,-0.4390096315801305,0.24075458377255263,0.9543986533526911,0.7673109431428926,0.5285355274101491
baseline_6,0.166014326189807,-0.6243676895578226,-1.774512189964748,-0.6105366029580114,-0.9651779355644209,-0.7155547686123652,0.4711625115981232,-0.24076260125840496,1.1823059717868116,0.03226365674651059,0.15815588166724068,0.2367521188260601
baseline_7,-0.31345434590919513,0.16946601160752878,0.10992622008498923,-0.8323091640950896,-1.3716217191564912,-1.6764145042021383,-2.3202480794234597,0.2883161533355831,0.40752454720322023,-1.5310617009564103,1.4822523648173436,-0.3390529274538096
baseline_8,1.0867970686621087,0.8758845235736025,-0.2952240623384642,-0.926068824605111,0.023259927176658368,-0.07415033020898831,-0.7095413220865218,-0.15806652107811453,1.5952003746653847,1.341756829995318,-0.47428043810304915,-0.9557725541199016
baseline_9,-1.2794374061321923,-1.0967887299385704,-1.202592315794318,-0.7510610343430493,-1.3162082353325588,0.09551588757307417,-0.6258393939030339,-0.7137671894406221,-0.7613748750785497,0.9845888018907553,-0.4451057118731162,0.10057767948029259
baseline_10,-0.7952107964472493,0.10008467951178716,0.3047815563253439,-0.7729680468303325,-0.10454510169851391,1.5095582603584086,0.889719523461692,0.19337480745581348,-1.6922014794442393,-0.341780815424809,-0.37782731977807427,-0.5325593920413166
baseline_11,-0.5150271516664281,-1.0988350351243406,0.7018260453489022,1.2150578801563234,0.4697816153716365,0.07300242581898521,-0.6106099369973769,-0.6957153594895001,0.23462848074146653,-1.0274481007857599,-0.09573715787753753,0.5250850316969708
baseline_12,0.3520988088747295,-0.30410522950835067,-0.8567652916803954,0.6180003940893797,-0.8724459679018893,-0.6934388733776929,1.9745136504159013,-1.202750784728315,0.05030790344628435,0.32163029287730177,-0.4885498252343794,0.43498666573081624
baseline_13,0.6091781294861244,-0.9178878298476252,1.4624884809559893,-0.1732431836059896,1.481764275051694,-0.5494450100411444,1.0423713133228614,-0.5744163151124956,1.3133665998043753,-0.6224881598823078,-0.1428595367477758,0.48578894900132674
baseline_14,-0.8969566032070386,-1.0416908390418822,-0.09903504312369321,1.105741118166177,-0.4208359925739815,-0.21982385472047541,-1.3941216068266258,-0.32580731701528476,-1.5323480907862161,0.09270743405479834,-0.16837040135651932,-0.05522170840350232
baseline_15,0.8367851784616771,-0.801814232082892,0.6420497427521282,1.2006608717838259,0.9709328384036489,0.1448881566956744,-0.2942496031258023,-1.4727561572900185,-1.0841165449739976,-0.6221851723025462,-0.7408592620399681,0.6721848923870917
baseline_16,-0.6698924311018005,0.9949179562519483,-0.5405059177485134,-0.4125089786894043,-1.0277096580826721,0.2432564304222788,0.46474670095874104,1.131341209890135,-0.6535091485193969,-0.06011081440782577,0.2205037155963824,-1.1423481252136767
baseline_17,0.8632746495163304,1.8767551763292893,-0.13810752348949604,1.0040819764057245,0.02604320991409953,0.5970307117705764,-0.4061766850714922,0.045287920568643426,-0.22707915513845156,0.3077328230973544,0.5879293644975062,-2.0845140677908205
