,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
baseline_0,-1.3000325603774918,0.9090908105079132,-0.07277343328176296,0.1663763392253085,0.1370100690431204,-0.22909720300151143,0.9278505480215844,1.2580111952205923,0.5485758727387913,-0.12482602650802802,0.6242598357200657,-0.34805102573605495
baseline_1,-1.755003125542927,-0.18635339449281735,-0.2779083151225409,-0.6091235591800703,-0.8592104075408722,-0.06918403949060621,0.44357951075394086,-0.7894250159071122,-0.7087112056899099,0.8863427469138171,0.3989775844971884,1.1793150105319572
baseline_2,-0.7460156498204946,-1.3300534709568153,0.21984012460522445,-0.011682305588352947,-1.6827112246063511,0.28464896915118887,0.3425273941719612,-0.1823742865526326,1.9311106694569227,0.8643005774844206,0.5629457507897634,1.20741891780745
baseline_3,-1.3613779803569275,0.5032155116385424,-0.28699361667698237,-0.46779022092013933,-1.4210446392226481,-0.7345106274265165,-0.24504459612653776,0.1771384305021205,-0.16008692387181314,-0.7227379975092433,-1.9557007112476927,-2.17146773290351
baseline_4,0.574514201169247,-1.06025090287253,0.0054577574767574995,-0.4692922250123321,0.6983894307167037,-0.3648487688868854,-0.6076073922131001,-1.2611529498710088,0.07643310505781029,0.48786411334436114,0.2177652820239121,0.4520462145304222
baseline_5,0.045341365152635156,-0.18852603973782692,0.749022666866542,-0.8962851346366356,-0.5551522119498158,0.9193921899089891,0.2069910465315973,1.9220386482286083,0.7476266437904419,-0.4122425380096727,0.6936899727835876,1.3083691722993045
baseline_6,-0.26872697902589293,-0.2549368502862681,0.1743138290290647,0.3590879445821891,-0.4586554611042286,-1.3872352516169149,0.0037193125341119506,-1.5926882255495656,-1.085621910441645,0.42480880522426545,0.4726404555233252,-0.5771327775974292
baseline_7,0.2508968906489297,0.22484661574060189,-0.16932737850642215,0.19792408369799816,-1.1301235620235452,0.02086115475072155,-0.9471953884674967,-0.6240239136413751,-0.5878573465087539,-0.0725189769281571,-0.16510870619692378,-2.4962364892903066
baseline_8,-0.508514272108944,-1.9084781198316196,0.8122593787504296,-0.43628424639376623,-0.22416506367790362,-0.06361047542830384,-0.9993163104991929,0.40356216447380183,-0.2818198879873345,0.6726373630190974,-0.03953385486651244,-1.643968143442204
baseline_9,1.3648668551680694,-0.385333424565484,-1.15156969041126,-0.9180092679296242,0.8145765430368748,-0.17484623379526143,0.09353541180368047,-0.0599696677896496,-0.9295170761716129,-0.8347806351878915,-1.1596841589587086,0.24041764812337146
baseline_10,-1.550873388177052,-0.3647597856288827,0.012102581658473102,0.038011348944966675,0.18935194123360946,-1.1383875572071263,0.04383851485799896,-0.9877106682105037,-1.982929041864456,-0.142201231972988,0.2013248752187189,-0.8553560462949964
baseline_11,-0.2270791415653857,-0.19992817522143738,0.6566839519159527,1.5401524980509587,-0.8771617868548043,-0.5391034726969915,-0.463167654469036,-0.07256818325463651,-0.518765953211684,0.5179799235254932,2.358517384594226,0.1817905702747214
baseline_12,-0.18393355760742022,0.5586431669260568,0.27399408578606516,0.5044065525622966,1.2131425735342791,0.5684516646846869,-1.170822364465211,0.47536168434105536,0.7510792253916133,0.3419335967604899,-0.16330781940559463,0.959354763759893
baseline_13,0.6987540002490601,-0.769385162663252,0.8871983690690279,1.326505757418677,1.9007238105674231,1.5517999699047522,0.7274650253449281,-0.11943722749836812,0.8577284490956014,-0.426407517805973,2.0200259805977447,0.2726947852149369
baseline_14,-0.5450401020384811,0.08587490386141536,-1.0122742123137027,0.5945075762532067,-0.6055269478037291,0.39115492833604326,0.665136807692866,-0.5927741074129497,-1.066379312224438,0.7749314445156461,-0.2065893099296977,-1.1151066909620642
baseline_15,0.17590639742323821,1.223191835334746,-0.1949661151364783,-0.18914607252675233,0.7560114049302297,0.3056708579992027,0.9186260201182725,1.3571550147637648,1.0167755699841123,-0.21783716621059387,-0.6970258017487514,-0.06574474070951071
