source,target,weight,abs_weight
omic2_tissue1_B1_f0,omic2_tissue2_B2_f3,-0.03720220960130084,0.03720220960130084
omic2_tissue1_B1_f0,omic2_tissue2_B2_f4,0.0011896369358740805,0.0011896369358740805
omic2_tissue1_B1_f0,omic2_tissue2_B2_f8,0.12725586073746864,0.12725586073746864
omic2_tissue1_B1_f1,omic2_tissue2_B2_f0,0.08816052949586355,0.08816052949586355
omic2_tissue1_B1_f1,omic2_tissue2_B2_f7,0.11100097115881911,0.11100097115881911
omic2_tissue1_B1_f2,omic2_tissue2_B2_f9,0.33070524924019834,0.33070524924019834
omic2_tissue1_B1_f3,omic2_tissue2_B2_f4,0.17367844659578713,0.17367844659578713
omic2_tissue1_B1_f4,omic2_tissue2_B2_f0,0.28068438654633837,0.28068438654633837
omic2_tissue1_B1_f4,omic2_tissue2_B2_f1,-0.16975577404898812,0.16975577404898812
omic2_tissue1_B1_f4,omic2_tissue2_B2_f5,0.01072563868318642,0.01072563868318642
omic2_tissue1_B1_f4,omic2_tissue2_B2_f7,-0.06936587759026401,0.06936587759026401
omic2_tissue1_B1_f5,omic2_tissue2_B2_f2,-0.1269507564713479,0.1269507564713479
omic2_tissue1_B1_f5,omic2_tissue2_B2_f4,0.05379164844722402,0.05379164844722402
omic2_tissue1_B1_f5,omic2_tissue2_B2_f5,0.17420744976493174,0.17420744976493174
omic2_tissue1_B1_f5,omic2_tissue2_B2_f9,0.026218460632552412,0.026218460632552412
omic2_tissue1_B1_f6,omic2_tissue2_B2_f1,0.05546937128537782,0.05546937128537782
omic2_tissue1_B1_f6,omic2_tissue2_B2_f6,0.022183667840045843,0.022183667840045843
omic2_tissue1_B1_f6,omic2_tissue2_B2_f10,0.06934682503922485,0.06934682503922485
omic2_tissue1_B1_f8,omic2_tissue2_B2_f1,0.2419922963059884,0.2419922963059884
omic2_tissue1_B1_f8,omic2_tissue2_B2_f2,0.12945355777888407,0.12945355777888407
omic2_tissue1_B1_f8,omic2_tissue2_B2_f5,-0.1445837923952008,0.1445837923952008
omic2_tissue1_B1_f8,omic2_tissue2_B2_f7,0.030473107292968774,0.030473107292968774
omic2_tissue1_B1_f8,omic2_tissue2_B2_f8,-0.016279835241091375,0.016279835241091375
omic2_tissue1_B1_f8,omic2_tissue2_B2_f11,0.2103308380852048,0.2103308380852048
omic2_tissue1_B1_f9,omic2_tissue2_B2_f1,-0.0052268123421474535,0.0052268123421474535
omic2_tissue1_B1_f9,omic2_tissue2_B2_f2,-0.1152350097531626,0.1152350097531626
omic2_tissue1_B1_f10,omic2_tissue2_B2_f2,0.021709845008927517,0.021709845008927517
omic2_tissue1_B1_f10,omic2_tissue2_B2_f3,-0.11905046996586648,0.11905046996586648
omic2_tissue1_B1_f10,omic2_tissue2_B2_f6,0.25292199877166216,0.25292199877166216
omic2_tissue1_B1_f11,omic2_tissue2_B2_f7,0.13273708669414386,0.13273708669414386
omic2_tissue1_B1_f11,omic2_tissue2_B2_f8,0.020279548719741747,0.020279548719741747
