source,target,weight,abs_weight
omic1_tissue1_A1_f0,omic2_tissue1_B1_f8,0.03660799009919563,0.03660799009919563
omic1_tissue1_A1_f1,omic2_tissue1_B1_f10,0.01851156608104687,0.01851156608104687
omic1_tissue1_A1_f2,omic2_tissue1_B1_f2,-0.04172112180229315,0.04172112180229315
omic1_tissue1_A1_f2,omic2_tissue1_B1_f4,-0.017089404720205925,0.017089404720205925
omic1_tissue1_A1_f2,omic2_tissue1_B1_f6,-0.02400098425474745,0.02400098425474745
omic1_tissue1_A1_f3,omic2_tissue1_B1_f7,0.007801580041722073,0.007801580041722073
omic1_tissue1_A1_f3,omic2_tissue1_B1_f9,-0.07371712812465578,0.07371712812465578
omic1_tissue1_A1_f4,omic2_tissue1_B1_f1,-0.2599995139099499,0.2599995139099499
omic1_tissue1_A1_f4,omic2_tissue1_B1_f7,0.5482464161725749,0.5482464161725749
omic1_tissue1_A1_f5,omic2_tissue1_B1_f4,-0.15223852394419674,0.15223852394419674
omic1_tissue1_A1_f5,omic2_tissue1_B1_f8,0.08305817258123238,0.08305817258123238
omic1_tissue1_A1_f6,omic2_tissue1_B1_f0,0.31626002356952637,0.31626002356952637
omic1_tissue1_A1_f7,omic2_tissue1_B1_f4,0.016020206891676603,0.016020206891676603
omic1_tissue1_A1_f7,omic2_tissue1_B1_f10,0.0015860456597625028,0.0015860456597625028
omic1_tissue1_A1_f8,omic2_tissue1_B1_f10,-0.03391585446143136,0.03391585446143136
omic1_tissue1_A1_f9,omic2_tissue1_B1_f5,-0.07975331811054995,0.07975331811054995
omic1_tissue1_A1_f9,omic2_tissue1_B1_f9,0.28693468233683017,0.28693468233683017
omic1_tissue1_A1_f11,omic2_tissue1_B1_f2,0.0594410917620454,0.0594410917620454
