,omic1_tissue1_A1_f0,omic1_tissue1_A1_f1,omic1_tissue1_A1_f2,omic1_tissue1_A1_f3,omic1_tissue1_A1_f4,omic1_tissue1_A1_f5,omic1_tissue1_A1_f6,omic1_tissue1_A1_f7,omic1_tissue1_A1_f8,omic1_tissue1_A1_f9,omic1_tissue1_A1_f10,omic1_tissue1_A1_f11
omic1_tissue1_A1_f0,2.1501453459895754,-0.16136390164972464,-0.0031045796751534376,0.03054096230539733,-0.19119068608659326,0.068630445747013,-0.003545668164221625,-0.1391203281685907,0.0919221225985947,-0.0806637020704519,-0.052821067666851684,-0.2711908165054957
omic1_tissue1_A1_f1,-0.16136390164972464,2.6537547455409043,-0.3062384715078096,-0.009329633992867447,-0.008694808172914794,-0.020058818868216536,0.006082305832572632,0.003283316149226598,0.013284945471540566,-0.016984504490008233,0.002758113258817765,0.2800297106337823
omic1_tissue1_A1_f2,-0.0031045796751534376,-0.3062384715078096,1.5239057345115992,-0.09250760524794983,-0.1359150233568218,-0.02249074622683327,-0.026931633796901923,0.11445964544517445,-0.1323232914209196,0.013568463949794886,0.134131775763344,0.07709403572981315
omic1_tissue1_A1_f3,0.03054096230539733,-0.009329633992867447,-0.09250760524794983,1.7525512776210586,0.013438250907555327,-0.24116166988600057,-0.0065494630497713435,0.15292976281099585,0.17295460767118326,-0.003911960130548614,0.1465744925983039,-0.2301332152842838
omic1_tissue1_A1_f4,-0.19119068608659326,-0.008694808172914794,-0.1359150233568218,0.013438250907555327,2.987376719764875,-0.22290953563283006,0.605288403001083,-0.013541352791067537,-0.16895579830626237,0.007568598115500424,-0.01100630072374177,0.006013909577161223
omic1_tissue1_A1_f5,0.068630445747013,-0.020058818868216536,-0.02249074622683327,-0.24116166988600057,-0.22290953563283006,2.2926767421408356,0.0001718133849569004,0.09045392791349417,-0.0008554837477966528,-0.008056015504423733,-0.11826220394969048,0.008374406970317232
omic1_tissue1_A1_f6,-0.003545668164221625,0.006082305832572632,-0.026931633796901923,-0.0065494630497713435,0.605288403001083,0.0001718133849569004,2.2504501412293934,0.1282251701720585,-0.01828591963727353,-0.08013647149824232,0.08205606586830015,-0.13186201511336948
omic1_tissue1_A1_f7,-0.1391203281685907,0.003283316149226598,0.11445964544517445,0.15292976281099585,-0.013541352791067537,0.09045392791349417,0.1282251701720585,2.099963717088134,-0.0035313944894076075,-0.004325306267500765,-0.014550011474510268,0.23634940463538845
omic1_tissue1_A1_f8,0.0919221225985947,0.013284945471540566,-0.1323232914209196,0.17295460767118326,-0.16895579830626237,-0.0008554837477966528,-0.01828591963727353,-0.0035313944894076075,2.0081958424187083,-0.008366604401619553,0.04910924758146387,-0.03813554356230985
omic1_tissue1_A1_f9,-0.0806637020704519,-0.016984504490008233,0.013568463949794886,-0.003911960130548614,0.007568598115500424,-0.008056015504423733,-0.08013647149824232,-0.004325306267500765,-0.008366604401619553,2.130756725436734,0.14661194750385165,-0.11465121355175797
omic1_tissue1_A1_f10,-0.052821067666851684,0.002758113258817765,0.134131775763344,0.1465744925983039,-0.01100630072374177,-0.11826220394969048,0.08205606586830015,-0.014550011474510268,0.04910924758146387,0.14661194750385165,1.5740704636059384,-0.017854990856857315
omic1_tissue1_A1_f11,-0.2711908165054957,0.2800297106337823,0.07709403572981315,-0.2301332152842838,0.006013909577161223,0.008374406970317232,-0.13186201511336948,0.23634940463538845,-0.03813554356230985,-0.11465121355175797,-0.017854990856857315,2.158288981986208
