,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue1_A1_f0,-0.006445430188258737,-0.05407025923290433,0.21178991356423255,-0.011853921354210149,0.03033691976435268,0.11590673296628586,-0.0811617645440116,-0.01171895725362157,0.03459545532116299,0.010730121207694595,-0.00904264842688351,0.0009277068159707552
omic1_tissue1_A1_f1,-0.014656603584538921,-0.023181633924396997,-0.01535541167735207,-0.01575451295335985,-0.5814011009949848,0.005547213148081729,0.004359004358121701,0.1167806302410794,0.004060135461174589,-0.009533505220255074,9.746580785708803e-05,0.0011646522705306124
omic1_tissue1_A1_f2,-0.00484526568799756,0.09953652535084972,0.06849102872815918,-0.0845147917452616,0.012313139438951569,0.17529552566422965,0.1129291135030882,0.012670138627209252,-0.018601157996189693,-0.15107323213226947,-0.10003252906191717,-0.03190797895076749
omic1_tissue1_A1_f3,0.05937660516289812,0.0015551237098364085,0.03440422778024692,-0.019345604906370717,-0.10423036807018514,0.22529782348670985,0.3621412979393188,0.1633773609229805,-0.034596172936170906,-0.14123779284035598,-0.010282093275775308,0.027782000635930067
omic1_tissue1_A1_f4,0.019974493011942672,-0.005322039024410944,0.06609668398714985,-0.11310855535964924,-0.034808869167869134,0.010274469801438351,-0.08590954095251421,0.049628262096787036,-0.008787366697498421,-0.0002409111635232965,-0.00615173246265718,-0.0010611564674019326
omic1_tissue1_A1_f5,0.015202415008428937,-0.16914005038176275,-0.058003520475733976,0.01152406395533748,-0.031703953435189086,-0.010726234496513458,0.182063208263341,0.00015865282497813316,-0.12321172646150254,-0.13994944024562722,-0.07260605617986245,0.01598669656428828
omic1_tissue1_A1_f6,-0.22748760511662547,-0.08478306407460778,-0.20141238587219146,-0.009338524595901938,-0.0017245123195430109,0.2430279212165159,-0.005222304573341507,0.057406811297311684,-0.003974526663683387,9.910622513769409e-05,0.2867094509012832,0.012498619985141627
omic1_tissue1_A1_f7,0.10181708857649349,-0.0011209357376746221,0.01837439334739883,0.01570177842935141,0.016929561892633,0.004224619712223067,0.0035734736268447182,0.0047061772559280485,-0.06297347386882132,0.1581398725689144,0.0,-0.01188595275658367
omic1_tissue1_A1_f8,-0.012460001414001595,0.06050662197640663,-0.19215236668057534,0.012105650342253372,-0.2978833909706523,-0.32141709888106107,-0.052841190665520316,-0.0911177449064398,0.013002625649897038,-0.012451957121262519,-0.0848490258446634,-0.024006896941401783
omic1_tissue1_A1_f9,0.004049303854948219,-0.010256141867373806,0.21071196545304943,-0.12232044888328189,-0.003329348074367205,0.03849953938829589,-0.007570495086175104,0.014354054104947946,-0.05297893615614844,-0.15471628215516897,0.010129901276458953,0.0029299938179865458
omic1_tissue1_A1_f10,-0.13626787346725308,-0.0058970839763603285,-0.13593319668137901,-0.1100090089984335,-0.05069717294963172,-0.020411054445607264,0.1777524850977766,-0.05929889316126701,0.05513847205532282,0.041115766301005004,-0.03632498415545824,-0.008631754072504912
omic1_tissue1_A1_f11,-0.123276279259916,-0.11898398414211252,0.003951404360603244,-0.009875553294711393,-0.0071683206739674415,0.012624067927921409,-0.009669776124194557,-0.06693115389608818,-0.22038676065851626,0.19529571705596557,-0.08272366473511004,-0.021615921345849495
