,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue2_A2_f0,0.16764275456007932,-0.0017735419467757518,-0.020796578982684784,0.1555529873056906,0.008570644092645973,-0.19528004752031183,0.0617390514399064,-0.23632817736601117,-0.01073590890436538,0.005428201584108899,-0.13446671826668818,-0.2433585978932006
omic1_tissue2_A2_f1,-0.11866200737718018,-0.00796200586663754,0.00733474363184247,0.10523925985053163,-0.0017616308291660459,0.008406256504357548,0.08525140347224253,0.0006443378581549853,-0.019828519617271168,-0.20730210779118294,0.10362968632432654,0.025555217176852336
omic1_tissue2_A2_f2,-0.0831459118510411,-0.03260858196832405,0.015391416356974953,-0.06334142214843971,-0.07775140758998446,0.03318369703458763,-0.18935390146908798,-0.04561735599664254,0.005194471422584168,0.004635172016758551,-0.0004499674719839657,0.003270446171771217
omic1_tissue2_A2_f3,0.15368543877446703,-0.005495410897588821,0.3479470238644285,0.014536824206993603,-0.1266644568959464,0.0006104357127755533,-0.06011297403123719,-0.016435997620857876,-0.11841931905005576,-0.002012901915142059,0.1669102616122576,0.14296949687243973
omic1_tissue2_A2_f4,0.1271913460150122,0.034407171473465135,-0.3710028060891326,0.006259570756882604,-0.18509066786029738,0.005903433280017655,-0.0038944299816825487,-0.0014077060337507527,-0.23993967188397433,0.3682727359825137,-0.004226793432379712,-0.1703447471344192
omic1_tissue2_A2_f5,0.012871336454927891,-0.004871917005265059,-0.05759524910957534,0.01251169621896924,-0.0027397559128183708,0.016081018900218368,-0.2100628131296105,-0.10826820512257519,0.12649402621480596,0.10690212520872934,0.01730136804716328,-0.022980755934652587
omic1_tissue2_A2_f6,-0.04696962240891097,-0.018399195649758553,-0.014488066702415595,-0.1373189686008079,-0.27694127826558546,-0.21102356265198913,0.24588650814819843,-0.01767835800073474,-0.07189050127655532,0.04922968975159596,-0.09372166502822699,-0.12735007037308002
omic1_tissue2_A2_f7,-0.12965734195209272,0.08787818590609263,-0.012010343017088034,-0.04693589219840424,-0.03082987390031026,0.027226439197679985,-0.0076955650821084794,-0.0013229585191887497,-0.01028645255896026,-0.007772294113698638,0.0361126873021332,0.12047552329786228
omic1_tissue2_A2_f8,-0.039943191817861566,0.060937193076520936,-0.13638163319028704,0.03405755382812572,0.015335583222226664,-0.017045158763826736,0.24435070399346634,-0.0875415835207985,0.010788069739254584,0.040820795288227546,0.007098189785227027,0.03413188092938709
omic1_tissue2_A2_f9,-0.022108220559496683,-0.21157443934694872,-0.0870485935509638,-0.009184560631349035,-0.07194776676903937,-0.13948396302533678,-0.15331760238836487,-0.12883017637583977,-0.012032778604594232,0.01841883718332544,-0.02390536934066418,-0.0109270913956227
omic1_tissue2_A2_f10,-0.0002696675043435186,-0.2941789832634377,-0.017329139518640707,-0.023778143630513143,0.006339428587162492,-0.21142824001888785,0.0007249966072396867,-0.16017299051044656,-0.023546274129024842,0.011505233133497692,-0.01788095200129136,0.3171625943038556
omic1_tissue2_A2_f11,-0.07867822696027561,-0.0943405978176495,0.46071548366054477,0.002313957423278427,0.032493811172586574,0.004195225472256857,-0.016050519020963865,0.06427233333995044,-0.2538809478899669,-0.023828435921566665,-0.12470570021896879,-0.42138584199283496
