,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic2_tissue1_B1_f0,1.677593740028437,-0.14554915802822033,-0.0007973541903055005,0.07173304403672309,0.0854744547652869,-0.41293298244159554,-0.057634333222707806,0.011187417890821666,-0.004734373470258855,-0.0031353075256955656,0.1892834845724216,0.06276269770388952
omic2_tissue1_B1_f1,-0.14554915802822033,2.5690428695259646,-0.12185418837930233,0.022501297256298895,0.0031006929045464134,0.008841469005845232,-0.19153008105119113,0.013546120420549243,0.0190576626952785,0.15350537423062963,-0.02544802040277032,-0.042735976537605545
omic2_tissue1_B1_f2,-0.0007973541903055005,-0.12185418837930233,2.3382068326585452,-0.01145252892072565,-0.03329945093818907,-0.16528001093857494,-0.0028727169549969287,0.013149091791852197,-0.0030062584624404452,-0.08038869308867934,-0.010298783239500214,0.009838130520525198
omic2_tissue1_B1_f3,0.07173304403672309,0.022501297256298895,-0.01145252892072565,2.2835629700082962,0.02139709944898652,-0.28093444299095044,0.006873465431637029,0.003079062937845224,0.08493827453188871,0.019531664926943516,0.09022815303848936,-0.09376631983499713
omic2_tissue1_B1_f4,0.0854744547652869,0.0031006929045464134,-0.03329945093818907,0.02139709944898652,2.773098774190047,-0.6235783899207233,-0.03259690710066467,-0.29519688536966066,0.022864698193940606,0.016869500739744248,0.0006003117049933503,-0.002513725193030504
omic2_tissue1_B1_f5,-0.41293298244159554,0.008841469005845232,-0.16528001093857494,-0.28093444299095044,-0.6235783899207233,2.484914508414453,-0.012335456148352228,-0.015390526545041592,0.051011677486893635,0.06945886267990532,-0.21082974320959394,0.07613526156961166
omic2_tissue1_B1_f6,-0.057634333222707806,-0.19153008105119113,-0.0028727169549969287,0.006873465431637029,-0.03259690710066467,-0.012335456148352228,1.7741979828643344,-0.006761341445366691,-0.30990106797279865,0.030974210320845515,0.024989814291840072,-0.07658237086182944
omic2_tissue1_B1_f7,0.011187417890821666,0.013546120420549243,0.013149091791852197,0.003079062937845224,-0.29519688536966066,-0.015390526545041592,-0.006761341445366691,2.2816032249119442,-0.0008825637454155086,-0.01461222687739089,-0.005216382245453886,-0.12547260368732588
omic2_tissue1_B1_f8,-0.004734373470258855,0.0190576626952785,-0.0030062584624404452,0.08493827453188871,0.022864698193940606,0.051011677486893635,-0.30990106797279865,-0.0008825637454155086,2.3934247740988837,-0.12589280359335941,-0.007221579337975247,0.015403132824535625
omic2_tissue1_B1_f9,-0.0031353075256955656,0.15350537423062963,-0.08038869308867934,0.019531664926943516,0.016869500739744248,0.06945886267990532,0.030974210320845515,-0.01461222687739089,-0.12589280359335941,1.6967847752143863,0.00961401165511203,-0.007811107146933028
omic2_tissue1_B1_f10,0.1892834845724216,-0.02544802040277032,-0.010298783239500214,0.09022815303848936,0.0006003117049933503,-0.21082974320959394,0.024989814291840072,-0.005216382245453886,-0.007221579337975247,0.00961401165511203,1.5787767813125966,-0.00594138426731297
omic2_tissue1_B1_f11,0.06276269770388952,-0.042735976537605545,0.009838130520525198,-0.09376631983499713,-0.002513725193030504,0.07613526156961166,-0.07658237086182944,-0.12547260368732588,0.015403132824535625,-0.007811107146933028,-0.00594138426731297,1.577338555808433
