,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic2_tissue1_B1_f0,-0.10108714385342508,-0.20433440418372367,0.01882924051745312,0.20563273325391737,-0.04369878703346204,-0.11607422377231982,0.00906304571710367,-0.016324324542470334,0.011050362628314667,-0.31748047055779627,-0.011455322015188247,0.13285216397509111
omic2_tissue1_B1_f1,0.0063232940434434105,0.22749153078983092,1.3288224787768523e-05,0.23015388101280806,-0.005842441510835841,0.0666541802989262,0.01754418205144504,-0.3254655590821614,0.0037192931512631355,0.0033465885719447565,-0.0033525667240213307,-0.3176830556176611
omic2_tissue1_B1_f2,-0.01233009917189153,-0.05999752746271699,0.019453888412902846,-0.09033707628263389,0.0004897905198748357,0.06688281609439359,0.013015267454021866,-0.1847264676972055,0.15446956750226562,-0.01052362651580229,0.009889375577761962,-0.0011411798067999374
omic2_tissue1_B1_f3,-0.01470527118102319,-0.005627426277900479,-0.00550750700170504,-0.00830512499821208,0.006228723227004621,0.24462018231980215,-0.018611423059962252,0.003647847650033557,-0.35319059546970627,-0.0013897193061934313,0.01754545793720162,-0.028731854361898863
omic2_tissue1_B1_f4,-0.00960137575349758,-0.0035479439641661506,0.060210962572050546,0.015096873215764391,0.03218308255982318,-0.0018885821464519742,0.0017964856488090336,0.225672395975636,-0.16764893730951055,0.030155021203663843,-0.015363743315087953,0.01902593118503591
omic2_tissue1_B1_f5,-0.030740621754394837,-0.19316300085075858,0.037830203172593946,0.01405511666491546,-0.014561061443588154,0.09642667815145081,0.29804879669306295,-0.03524172176865139,0.009060184581723356,-0.013118982436930464,-0.5012733601573499,-0.05583907934078255
omic2_tissue1_B1_f6,-0.13082128598981796,-0.10957289939939978,-0.005092503826750159,0.01172043782441788,0.00024352629663790793,0.048680551880273315,-0.33019836285424264,0.04707546693639432,0.02259838694056494,-0.008986404910954574,-0.015513986014671455,0.00873848101611981
omic2_tissue1_B1_f7,0.0010604527692240075,0.19659830134383072,-0.23324765547773016,-0.4193411074067178,0.0005805968683029412,0.013387714166123464,-0.0003469224392259416,-0.1227632576961509,-0.022199729470048602,0.12438401639421193,0.02704573244264457,0.052252220077287075
omic2_tissue1_B1_f8,0.09338049496003036,0.012030277457281515,-0.151887028615012,-0.03188665586888838,-0.017558744106914437,0.009745449650191399,0.004476007481184377,-0.09331647316584017,-0.01990332538734124,0.006775210651914057,-0.008431017584292178,-0.016095007902625028
omic2_tissue1_B1_f9,-0.004256350873372506,-0.035477194938296236,-0.20378286549690922,-0.20724646214515077,0.10539244926197529,0.058066856941592464,0.2483629522868241,-0.013320288656110327,0.008961256800999922,0.11679180423880375,0.0035687031951038323,-0.09355343569788743
omic2_tissue1_B1_f10,-0.10972699771608872,-0.1779742935767973,-0.2554044914246291,-0.0002742218169992653,-0.022910658197149103,0.02512968431051055,0.02241761509663649,0.02603549599772293,0.013543251133528377,-0.0249518888354892,0.01224592620840191,-0.014127854379376746
omic2_tissue1_B1_f11,0.003808942169360919,0.007929166883890662,0.015015644340955401,0.011918981785996397,-0.0032659980978850768,-0.2641785394603129,-0.026492316602947957,-0.03019742760180013,-0.012790627416299516,-0.010237140991480072,-0.07671342123880981,0.0028364074254391587
