,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic2_tissue1_B1_f0,0.022862801484566306,0.12424130991500078,0.026871234151471565,-0.00699581195881279,-0.09796987208251758,-0.023464227785249737,0.0007351110288316525,0.06671810960613145,-0.08458895854132384,0.099923619184436,0.02738109247733178,-0.022160792811356952
omic2_tissue1_B1_f1,-0.2749387093826194,0.013088970163207517,-0.01467310767805098,0.004273544490482981,-0.27380284789377196,-0.024693794580057805,-0.01828125461517033,-0.30178074288541373,0.02202628498814831,0.01632917537042391,0.017225676147350627,0.019875803678423433
omic2_tissue1_B1_f2,-0.0985843766062919,0.018667931466815776,-0.002667404922772951,-0.10100261472024132,-0.004897648447844048,-0.09797570280799128,0.006706369100970625,-0.15162773558037163,-0.27481603362697427,-0.4820370397361315,0.003547456833282716,-0.015248754643590202
omic2_tissue1_B1_f3,0.09574744807950286,-0.12081225137920401,0.025595873707370587,0.01332325453870432,-0.3399762521463064,-0.0030666479357026096,-0.006477190229993116,0.0032432141116188417,0.010136943513924543,-0.08755092699973907,0.0004790882333798429,0.004539889675013834
omic2_tissue1_B1_f4,-0.37907199313260787,0.37171909454818997,-0.006478704873152642,-0.0005252416184211532,-0.3018413644807916,0.007440957902105265,-0.0133338533375136,-0.012906550933440673,0.040680230514682565,-0.00889993290050759,-0.0027681565213390144,-0.053220242134721214
omic2_tissue1_B1_f5,-0.006916081127633106,-0.0008116414017597982,0.21240789126598394,-0.031701587038708554,0.00665149267800044,-0.18847051332262163,0.0037817932092570235,0.012782193082104909,-0.07610761909566709,-0.24535965403836815,-0.11956674732692371,-0.09056551429440587
omic2_tissue1_B1_f6,-0.01948145686516268,-0.1330540969859483,-0.025136252788303042,-0.002034250798907272,-0.09041900395076019,-0.00818369997693561,-0.022121077093848394,-0.07837506097004657,0.023312703508053822,-0.02934167340411931,-0.11270178081744422,0.02829285418019808
omic2_tissue1_B1_f7,-0.16900813069953893,0.07459878699270187,-0.010692844635145412,0.00958929264852847,-0.002050311513081138,0.005232578209842824,-0.066348610546494,0.0057409514917909745,-0.01081945776942036,0.017848172406022846,-0.0304639787936144,-0.0102756081278124
omic2_tissue1_B1_f8,-0.03378729165094835,-0.3033996642156045,-0.15405616839987676,-0.12710352708308445,-0.011620897883838282,-0.005342012344255091,-0.1310261235711134,0.01076392237574472,-0.026114839735868117,-0.003854874658070489,-0.0595601999501826,-0.3336736594621096
omic2_tissue1_B1_f9,-0.03260052066352739,-0.026247289811296846,-0.023372541092495015,0.025354092299375523,-0.005612484527777847,0.0011648049633429228,0.08729131381134554,0.005140510245316697,-0.008735267609454526,-0.04488584521420283,-0.003598334054806172,-0.0032523631919067603
omic2_tissue1_B1_f10,0.004768403422416258,-0.01568616008454072,-0.17623606973691078,0.20291869984130312,0.03544775225330779,0.003020042886892968,-0.22050834889616716,-0.016408714215926892,0.0064630674457143555,0.0216016895162944,-0.03054603361345512,-0.043316065956418535
omic2_tissue1_B1_f11,-0.005927229347044668,0.06726699410714031,-0.005907045499998435,0.05322305717729336,0.008851236545923577,0.004931213128230651,-0.01321774484354812,-0.2525549323777209,-0.05477921380515333,0.021400966828065256,-0.07773444575695289,0.0023801487553568824
