,omic1_tissue1_A1_f0,omic1_tissue1_A1_f1,omic1_tissue1_A1_f2,omic1_tissue1_A1_f3,omic1_tissue1_A1_f4,omic1_tissue1_A1_f5,omic1_tissue1_A1_f6,omic1_tissue1_A1_f7,omic1_tissue1_A1_f8,omic1_tissue1_A1_f9,omic1_tissue1_A1_f10,omic1_tissue1_A1_f11
omic1_tissue1_A1_f0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.02743502330328472,0.1548782832722872,-0.025411895392840833,-0.0,0.0,0.0
omic1_tissue1_A1_f1,0.0,0.0,0.04225300237462558,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f2,0.0,0.04225300237462558,0.0,0.13500077989930703,-0.0,-0.00860073496398131,-0.0,-0.029876251660806777,-0.0,0.0,-0.0,-0.0
omic1_tissue1_A1_f3,0.0,-0.0,0.13500077989930703,0.0,0.9723114833087305,0.5950176268785824,-0.3047792089849843,0.035847795527934254,-0.0,-0.0,0.45085801101914785,0.0
omic1_tissue1_A1_f4,0.0,-0.0,-0.0,0.9723114833087305,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.4288769321734935
omic1_tissue1_A1_f5,-0.0,-0.0,-0.00860073496398131,0.5950176268785824,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0616232762858568
omic1_tissue1_A1_f6,-0.02743502330328472,-0.0,-0.0,-0.3047792089849843,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f7,0.1548782832722872,-0.0,-0.029876251660806777,0.035847795527934254,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.011015464821107282,-0.0
omic1_tissue1_A1_f8,-0.025411895392840833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.08426886741657387,0.0
omic1_tissue1_A1_f9,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.008348646682290711,0.0
omic1_tissue1_A1_f10,0.0,0.0,-0.0,0.45085801101914785,-0.0,0.0,0.0,-0.011015464821107282,0.08426886741657387,-0.008348646682290711,0.0,-0.0
omic1_tissue1_A1_f11,0.0,-0.0,-0.0,0.0,0.4288769321734935,0.0616232762858568,-0.0,-0.0,0.0,0.0,-0.0,0.0
