,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue2_A2_f0,-0.0,0.0,-0.0,-0.023117276348560617,-0.0,0.0,-0.0694935309970167,0.04436904624389089,-0.0,0.0,0.0,-0.0
omic1_tissue2_A2_f1,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.01741378047115935,0.02187516485465847
omic1_tissue2_A2_f2,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omic1_tissue2_A2_f3,-0.0,-0.0,-0.0,-0.008135372136497537,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.16539285026391642
omic1_tissue2_A2_f4,-0.0,-0.0,0.07448109521253632,0.0,0.13958530707902178,0.012945525532550572,0.0,0.0,0.0,-0.14179180686880366,-0.0,0.0
omic1_tissue2_A2_f5,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.1146255940307895,-0.0,-0.0,-0.0
omic1_tissue2_A2_f6,-0.0,0.0,0.0,0.0,0.4197922787543095,0.1478746364693237,-0.32069273338438053,0.0,0.0,-0.0,0.04454411225002315,0.06857831566002191
omic1_tissue2_A2_f7,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.01885827336092935
omic1_tissue2_A2_f8,-0.0,-0.00016807982925897552,0.0,0.0,-0.0,-0.0,-0.05940917884873671,0.07341894851707177,0.0,0.0,-0.0,0.0
omic1_tissue2_A2_f9,-0.0,0.0,-0.0,0.0,0.0,0.0,0.16326487588784994,0.0,-0.00643765686929184,0.0,0.0,-0.0
omic1_tissue2_A2_f10,0.0,0.0122098632049059,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
omic1_tissue2_A2_f11,0.010855449684905219,-0.0,-0.07151662884138381,-0.0,-0.0,0.0,-0.0,0.0,0.23661177987812704,-0.0,0.10543171950855788,0.0
