,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic2_tissue1_B1_f0,0.0,0.06577716962433637,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.019872699500859736,0.12127714780403635,0.07609634835742234,-0.05695446449338119
omic2_tissue1_B1_f1,0.0,-0.1261401924084264,0.0,-0.16113639759921178,0.0,0.0,0.0,0.3217590128004844,-0.0,-0.0,0.0,0.020358085832207204
omic2_tissue1_B1_f2,0.0,0.0,0.01868421358415613,0.0,0.0,-0.0,-0.0,0.11056795775457785,-0.02222031280536435,-0.0,0.0,-0.0
omic2_tissue1_B1_f3,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.11283665449295881,-0.0,0.0,-0.0
omic2_tissue1_B1_f4,-0.0,0.0,-0.0,0.0,-0.04600986361028063,-0.0,0.0,-0.0,0.02921517149391585,-0.0,-0.0,0.0
omic2_tissue1_B1_f5,-0.0,0.1341459947247985,-0.0,-0.0,-0.0,-0.0,-0.05335574116652707,-0.05977637980098256,0.0,-0.09120562359180241,0.19310308321258673,-0.0
omic2_tissue1_B1_f6,0.19606353049547864,-0.0,-0.0,0.0,-0.0,0.0,0.0635102713531248,-0.0,-0.0,0.0,-0.0,-0.0
omic2_tissue1_B1_f7,-0.0,-0.003099808332275182,0.07494319934364473,0.09676555207921576,-0.0,0.0,-0.0,0.0,-0.0,-0.36484468763271644,0.061802361890584565,0.0
omic2_tissue1_B1_f8,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.07494263281528717,-0.0,-0.0,-0.0,0.0,-0.0
omic2_tissue1_B1_f9,-0.0,0.0,0.1297480768441326,0.0,-0.017588298895824014,-0.1825639427058079,-0.1190338910036892,-0.0716389426244254,0.0,-0.03943224495775326,-0.0,-0.0
omic2_tissue1_B1_f10,0.017146109447713567,0.0,0.15849667831501774,0.0,-0.0,-0.0,0.061169983557945035,-0.0,-0.0,-0.0,0.0,0.0
omic2_tissue1_B1_f11,-0.0,0.0,0.0,-0.0,-0.01537825818979735,0.08698165683136165,-0.0,0.0,0.0,0.0,0.02960016711632131,0.03262697776729802
