,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic2_tissue2_B2_f0,0.0,0.1477878535990032,-0.0,0.2855428447728272,0.0,0.0,0.0,-0.0,0.016111547373571622,0.0,0.0,0.05284871689151903
omic2_tissue2_B2_f1,0.1477878535990032,0.0,-0.00010635409468919693,-0.0,0.0,0.17669147968140358,0.01529059513409553,0.0,0.0,0.029833901522748882,0.0,0.0
omic2_tissue2_B2_f2,-0.0,-0.00010635409468919693,0.0,0.10401164299471509,0.0,0.0,0.009446818372836147,-0.17597340255831628,0.253079034101964,0.0,0.0,-0.0
omic2_tissue2_B2_f3,0.2855428447728272,-0.0,0.10401164299471509,0.0,0.0,0.0,0.0,0.0,0.0,0.2541426159083763,0.0578114133223825,-0.24284073392274835
omic2_tissue2_B2_f4,0.0,0.0,0.0,0.0,0.0,-0.0,0.03787904833479015,0.0003997499223007614,-0.0,-0.0,-0.0,0.0
omic2_tissue2_B2_f5,0.0,0.17669147968140358,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
omic2_tissue2_B2_f6,0.0,0.01529059513409553,0.009446818372836147,0.0,0.03787904833479015,0.0,0.0,0.14082603903652285,0.31460916387280696,0.01782182310302831,0.00428680992021984,0.0
omic2_tissue2_B2_f7,-0.0,0.0,-0.17597340255831628,0.0,0.0003997499223007614,0.0,0.14082603903652285,0.0,0.15675486614343315,0.0,0.0,0.0
omic2_tissue2_B2_f8,0.016111547373571622,0.0,0.253079034101964,0.0,-0.0,0.0,0.31460916387280696,0.15675486614343315,0.0,0.0,-0.11675414939891825,0.08757730486591549
omic2_tissue2_B2_f9,0.0,0.029833901522748882,0.0,0.2541426159083763,-0.0,0.0,0.01782182310302831,0.0,0.0,0.0,-0.0,0.0
omic2_tissue2_B2_f10,0.0,0.0,0.0,0.0578114133223825,-0.0,0.0,0.00428680992021984,0.0,-0.11675414939891825,-0.0,0.0,0.0
omic2_tissue2_B2_f11,0.05284871689151903,0.0,-0.0,-0.24284073392274835,0.0,-0.0,0.0,0.0,0.08757730486591549,0.0,0.0,0.0
