,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue1_A1_f0,-0.006499917570631994,-0.05419855402234078,0.05552287571012733,-0.011795640774816627,0.030269871745507316,0.11593023347187613,-0.14112035509725687,-0.011591886675592612,0.034511735255077086,0.010715554598506892,-0.027315576388812435,0.0009263468493472277
omic1_tissue1_A1_f1,-0.014609302565766945,-0.023196427327163503,-0.01519801650136366,-0.01552821006419643,-0.3780597347265655,0.005570481062139551,0.004266027914623546,0.11685550475741305,0.13324065452365028,-0.009402615803766869,0.00017904863094874574,0.001103786398894674
omic1_tissue1_A1_f2,-0.0046843948140584835,0.08091565532929744,-0.09280264693615134,-0.08453251903480777,0.01246447333575637,0.17554343088194244,0.11297764033947193,0.012429192416363663,-0.018640909453670126,-0.15119400679888295,-0.0780662315465229,-0.031966697774259756
omic1_tissue1_A1_f3,0.059374027850633726,0.0008625940016398076,0.03398457918922332,-0.01866839519079373,-0.10387710526505582,0.028982920834200683,0.18611148467304156,0.10708563746299965,-0.03488957671984908,-0.0182645282782561,-0.009914643916368093,0.07588568113404501
omic1_tissue1_A1_f4,0.03157801108107272,-0.004910242779706336,0.06636244428778075,-0.11344483954591614,-0.13010806456541882,0.010576120569174383,0.09900091312062335,0.04993114059390802,-0.008628711162549822,-0.0001852124983924945,-0.006290232631699588,-0.001454788748331902
omic1_tissue1_A1_f5,0.015257268122325314,-0.16904835326959314,-0.05780528708810995,0.011381985809730766,-0.0317126243981634,-0.010553901344976881,0.18219787496772172,0.0002949587225422358,-0.07968310835983332,-0.13988645878237724,-0.0727791318145509,0.01582639244298147
omic1_tissue1_A1_f6,-0.22746692309818348,-0.0851290118590098,-0.20160487858211457,-0.009066463545198241,-0.0015526191658975256,0.19157444527203493,-0.005341740824213202,0.057196473925741426,-0.004027955924306218,0.00011957178870737953,0.28681174837086926,0.033159858759929536
omic1_tissue1_A1_f7,0.10186160231435595,-0.0008271383000223796,0.018406222242085914,0.015559057393972267,0.016847992992055416,0.004276037742887066,0.08821834736615183,0.004782735101794466,-0.06275302687168594,0.13939040855049636,-3.102757251780344e-05,-0.011962407736318476
omic1_tissue1_A1_f8,-0.012455250320754327,0.060731802955953276,-0.19213924143091352,0.012171409222684539,-0.29805833662417136,-0.048859546518914124,-0.05278590663421745,-0.09134613482829018,0.013109547159506973,-0.012398628463849624,-0.08476857716496317,-0.024227944671337973
omic1_tissue1_A1_f9,0.004053148253838058,-0.010346234623062618,0.1431687129528601,-0.12226565603286826,-0.0033002711904397313,0.038450943169128296,-0.04134282430704522,0.014388927007794658,-0.05303258639048625,-0.15483910746493834,0.010088369410747026,0.002932044433753607
omic1_tissue1_A1_f10,-0.13637237855836104,-0.0056516690330436934,-0.13571707111366244,-0.11049790028833942,0.0367990146527335,-0.02017021516123844,0.04869761691675914,-0.05898010012209792,0.055359515983357005,0.014247076904011679,-0.03646777124781196,-0.008827739468639286
omic1_tissue1_A1_f11,-0.12342671518674447,-0.1193585572916574,0.003852209529792778,-0.009626997432678907,-0.007195894931478411,0.012498894635536918,-0.009721993494445594,-0.06692708538294682,-0.22082444990117292,0.15429021431373194,-0.036426868978186144,-0.02133417444681068
