,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue2_A2_f0,3.063908431671094,0.03327711555393706,0.23027392192439206,0.007858421985021298,-0.3215128992530957,0.003402217936946988,-0.008026474188471112,0.028510655797772594,-0.19239476956239576,0.0019589088580954615,-0.3613832894512491,0.02005072850258608
omic1_tissue2_A2_f1,0.03327711555393706,1.7745003715715597,-0.0121289572216083,-0.015614676186778507,0.0007438142182185363,0.022103638895732435,-0.18669313308116356,0.05799365092766777,-0.006535134922302387,0.15219724305902332,-0.09799574082176868,0.012614818924997256
omic1_tissue2_A2_f2,0.23027392192439206,-0.0121289572216083,2.3475779127301037,-0.004496660814242037,-0.18245482977065045,0.005305366373026388,0.11729967437874864,0.026274273290141613,0.020648800904956764,0.24393594041812192,-0.008418007266189825,-0.17206002827641803
omic1_tissue2_A2_f3,0.007858421985021298,-0.015614676186778507,-0.004496660814242037,2.2970593450485604,-0.38217803275938717,0.008966611762905736,-0.013166898285321891,0.05867762648181668,0.00784594503187695,0.013011756240049667,0.19321671441885396,-0.024316506240835124
omic1_tissue2_A2_f4,-0.3215128992530957,0.0007438142182185363,-0.18245482977065045,-0.38217803275938717,2.476892665647586,-0.015366700627555817,0.009027195732729669,-0.08184970501987068,0.0035138856602670633,-0.07864239912598728,0.06164361938673307,-0.13682088078144847
omic1_tissue2_A2_f5,0.003402217936946988,0.022103638895732435,0.005305366373026388,0.008966611762905736,-0.015366700627555817,2.3011580207399573,-0.004962270994628499,-0.2242392919645258,0.004355116937288719,-0.06589837403603906,0.10006338016463373,0.01643757185105927
omic1_tissue2_A2_f6,-0.008026474188471112,-0.18669313308116356,0.11729967437874864,-0.013166898285321891,0.009027195732729669,-0.004962270994628499,2.1585677037654487,0.13978751299357167,0.12888101317853617,-0.06877395302115276,0.17154577152158992,-0.0077268351270906
omic1_tissue2_A2_f7,0.028510655797772594,0.05799365092766777,0.026274273290141613,0.05867762648181668,-0.08184970501987068,-0.2242392919645258,0.13978751299357167,1.4722460483205513,-0.01226689950970475,0.11915942282464079,0.5458684449847153,0.06705302182433359
omic1_tissue2_A2_f8,-0.19239476956239576,-0.006535134922302387,0.020648800904956764,0.00784594503187695,0.0035138856602670633,0.004355116937288719,0.12888101317853617,-0.01226689950970475,1.7338186361900532,0.0019796192063942565,-0.04171040971169435,-0.0011019407294842747
omic1_tissue2_A2_f9,0.0019589088580954615,0.15219724305902332,0.24393594041812192,0.013011756240049667,-0.07864239912598728,-0.06589837403603906,-0.06877395302115276,0.11915942282464079,0.0019796192063942565,2.255872382424401,-0.010060315764361533,0.1448436200465407
omic1_tissue2_A2_f10,-0.3613832894512491,-0.09799574082176868,-0.008418007266189825,0.19321671441885396,0.06164361938673307,0.10006338016463373,0.17154577152158992,0.5458684449847153,-0.04171040971169435,-0.010060315764361533,3.043688258712945,0.12128101925672136
omic1_tissue2_A2_f11,0.02005072850258608,0.012614818924997256,-0.17206002827641803,-0.024316506240835124,-0.13682088078144847,0.01643757185105927,-0.0077268351270906,0.06705302182433359,-0.0011019407294842747,0.1448436200465407,0.12128101925672136,2.538080386997682
