,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue2_A2_f0,0.16787329770342002,-0.0017589032700288873,-0.020792845404299813,0.13243571095712997,0.008640315326801092,-0.19522885117122477,-0.007754479557110297,-0.1919591311221203,-0.01072714043946784,0.0053254179853114425,-0.1345019896796161,-0.24349044229272357
omic1_tissue2_A2_f1,-0.11881423332827126,-0.008043322301481647,0.007381289275000425,0.1052500490583399,-0.0016861981386113588,0.008460295606391131,0.08539297121953122,0.0005754446390320092,-0.019981926896395295,-0.20744044540681325,0.08621590585316719,0.047430382031510815
omic1_tissue2_A2_f2,-0.08320843996443944,-0.032665762257031536,0.015436490088737062,-0.0634377588504891,-0.07764726182514789,0.03320948456626033,-0.18930440615950575,-0.04555483252863483,0.005091240095103853,0.004672853123749069,-0.00042359393679213724,0.003320252707859933
omic1_tissue2_A2_f3,0.1538614965313528,-0.005489895862559801,0.3481942402353677,0.00640145207049607,-0.1266998574476742,0.0006432276093869117,-0.06015350781261885,-0.016328882860010274,-0.11831994260260897,-0.00214051320937183,0.1672134105998542,-0.022423353391476702
omic1_tissue2_A2_f4,0.12726844628981088,0.0343900096382727,-0.296478922085789,0.0063315588056987926,-0.04550536078127562,0.01884895881256823,-0.003946457332076493,-0.001387055670669237,-0.2398903554949079,0.22648092911371004,-0.004247463322525516,-0.17059455450795138
omic1_tissue2_A2_f5,0.012912127629139316,-0.004843180737122602,-0.05745899091298874,0.012464261037998817,-0.0026819089923891043,0.016155677941378253,-0.21007669465932194,-0.10823567089414879,0.011868432184016463,0.10692097138912834,0.017270447050928627,-0.023014745617258494
omic1_tissue2_A2_f6,-0.046940727597337036,-0.018358164218167806,-0.014380065869648878,-0.13734510776131964,0.14285100048872412,-0.06314892618266542,-0.0748062252361821,-0.01769325633237595,-0.07198466558339033,0.04910438358340104,-0.04917755277820384,-0.05877175471305811
omic1_tissue2_A2_f7,-0.1297874701051511,0.08796105844236157,-0.01200268784715042,-0.04715830709384191,-0.030654849816797187,0.027168234620631976,-0.007601837739896283,-0.0013610918214359835,-0.010364115389937695,-0.007734152765718577,0.03608571099594139,0.10161724993693293
omic1_tissue2_A2_f8,-0.03986042441128938,0.06076911324726196,-0.13658921846886535,0.033969880482895815,0.015341216258662853,-0.017021510684297834,0.18494152514472964,-0.014122635003726727,0.010833709784259309,0.04073583417972965,0.00701318390875648,0.034026117377950665
omic1_tissue2_A2_f9,-0.02206292859610913,-0.2117794484984299,-0.08692156505993906,-0.0091396408254925,-0.07184405875506777,-0.13947370104552928,0.009947273499485064,-0.12888620199043832,-0.018470435473886066,0.018365163271703816,-0.023849185263486374,-0.0108723486760224
omic1_tissue2_A2_f10,-0.00029364562166007274,-0.2819691200585318,-0.017331063938296372,-0.023792997905410493,0.006329911545832888,-0.21135790973468857,0.0007000938693642045,-0.16012492094378167,-0.023509943443688973,0.011536686983488503,-0.01792815355402496,0.3174711784668738
omic1_tissue2_A2_f11,-0.0678227772753704,-0.09429484813168096,0.38919885481916094,0.0022736138336228668,0.032488291937158485,0.004148436615203625,-0.0160074724124218,0.06433601736619306,-0.01726916801183985,-0.023794989221948823,-0.01927398071041091,-0.421800990049404
