,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic2_tissue1_B1_f0,1.6774090866727294,-0.10774452536884806,-0.0006889548262639621,0.010662004601150028,0.16738839975027958,-0.31900438180369867,-0.0576157052525209,0.011217321718653105,-0.004683466425115306,-0.28066540500261317,0.04490803204988955,0.06296463864757638
omic2_tissue1_B1_f1,-0.10774452536884806,2.5690555256520886,-0.12175078137755255,0.022539122274811765,0.003058792300728633,0.008844219075640133,-0.19159841968634647,0.013658954501997458,0.08430782223859007,0.15365680334212117,-0.025417165004537834,0.027097377280057736
omic2_tissue1_B1_f2,-0.0006889548262639621,-0.12175078137755255,2.338068367107323,-0.011450154364521225,-0.033304689681289065,-0.16525222962959896,-0.002853403927423979,0.013159560077008433,-0.0029797601832003075,-0.08043014226672332,-0.01029124403701446,0.009779907259021729
omic2_tissue1_B1_f3,0.010662004601150028,0.022539122274811765,-0.011450154364521225,2.283782026238306,0.02162561808740502,-0.25633452997831796,0.006866328985633333,0.003128565944562736,0.08492441888686175,0.019447413203806475,0.09027976820982075,-0.0938813907134963
omic2_tissue1_B1_f4,0.16738839975027958,0.003058792300728633,-0.033304689681289065,0.02162561808740502,2.773219902823023,-0.37970728233331086,-0.03262431543016855,-0.2625053364206379,0.02282413047705661,0.01687748125258311,0.0006198193231867835,-0.002518874478500339
omic2_tissue1_B1_f5,-0.31900438180369867,0.008844219075640133,-0.16525222962959896,-0.25633452997831796,-0.37970728233331086,2.485350963655441,-0.01244163864248282,-0.015397959348177476,0.2716604929162689,0.06956585474269382,-0.21099582966525496,0.06945938986719334
omic2_tissue1_B1_f6,-0.0576157052525209,-0.19159841968634647,-0.002853403927423979,0.006866328985633333,-0.03262431543016855,-0.01244163864248282,1.7740181347550092,-0.006720001364900124,-0.26044683504537064,0.030947047595420316,0.024957281157402866,-0.03338232699605269
omic2_tissue1_B1_f7,0.011217321718653105,0.013658954501997458,0.013159560077008433,0.003128565944562736,-0.2625053364206379,-0.015397959348177476,-0.006720001364900124,2.281851041352409,-0.0008672874202672902,-0.01452063032772376,-0.005158767889740481,-0.24256604710787782
omic2_tissue1_B1_f8,-0.004683466425115306,0.08430782223859007,-0.0029797601832003075,0.08492441888686175,0.02282413047705661,0.2716604929162689,-0.26044683504537064,-0.0008672874202672902,2.393554934699567,-0.0391373594924018,-0.007161399098342897,0.015450471968789774
omic2_tissue1_B1_f9,-0.28066540500261317,0.15365680334212117,-0.08043014226672332,0.019447413203806475,0.01687748125258311,0.06956585474269382,0.030947047595420316,-0.01452063032772376,-0.0391373594924018,1.6966303597295136,0.009603657775786366,-0.007744895872918708
omic2_tissue1_B1_f10,0.04490803204988955,-0.025417165004537834,-0.01029124403701446,0.09027976820982075,0.0006198193231867835,-0.21099582966525496,0.024957281157402866,-0.005158767889740481,-0.007161399098342897,0.009603657775786366,1.5777790605626134,-0.005975109677366764
omic2_tissue1_B1_f11,0.06296463864757638,0.027097377280057736,0.009779907259021729,-0.0938813907134963,-0.002518874478500339,0.06945938986719334,-0.03338232699605269,-0.24256604710787782,0.015450471968789774,-0.007744895872918708,-0.005975109677366764,1.576367218511897
