,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic2_tissue1_B1_f0,-0.10109042283118447,-0.1385572345593873,0.018874026347802917,0.2058527566961589,-0.04369690610258331,-0.1161361009627939,0.008839194423898283,-0.016462118279978025,0.03092306212917441,-0.19620332275375993,0.06465371518734869,0.07589769948170991
omic2_tissue1_B1_f1,0.006356232138632959,0.10135133838140455,7.485477683028333e-05,0.06901748341359627,-0.005815150338692777,0.06669993732809662,0.017554588187504203,-0.0037065462816770027,0.003809655775607804,0.0034022774785379675,-0.003381198527092708,-0.29732496978545386
omic2_tissue1_B1_f2,-0.012365138666276296,-0.06017653156123168,0.038138101997058985,-0.09034364363865087,0.000471727182143696,0.06694626710506056,0.012908918624285792,-0.07415850994262764,0.13224925469690127,-0.010579115523693925,0.009842556168560453,-0.0010582408989940795
omic2_tissue1_B1_f3,-0.014608356083235359,-0.0055753070834280265,-0.005476188714528315,-0.00829677897049305,0.006226884496991228,0.24464218740870716,-0.018766236869015167,0.0036342807893900188,-0.24035394097674745,-0.0014236473735199698,0.017671568429964354,-0.02870636590478108
omic2_tissue1_B1_f4,-0.009538778515114574,-0.0035846623398852386,0.0602163319745556,0.015135108491778597,-0.013826781050457454,-0.001962039740770489,0.0016751328911211796,0.22586497505976244,-0.1384337658155947,0.03011294295258546,-0.015344093866625358,0.018993013415658514
omic2_tissue1_B1_f5,-0.03069426972272249,-0.0590170061259601,0.03790896204487033,0.014046461663683204,-0.014688249436174538,0.09630452336179122,0.2446930555265359,-0.09501810156963397,0.009211972622879564,-0.10432460602873286,-0.3081916280129039,-0.05579639525622553
omic2_tissue1_B1_f6,0.06524224450566064,-0.10969152091271323,-0.0050607047492776235,0.011664683242037892,0.00025225916289972643,0.048728960538796245,-0.26668809150111783,0.047264306842839776,0.022689336962255197,-0.008922632721342931,-0.015534440141761243,0.008754552530945127
omic2_tissue1_B1_f7,0.0010970161868328054,0.19349849301155553,-0.15830445613408542,-0.3225499167173521,0.0008580932409886343,0.013419746843444982,-0.00035459806071245527,-0.1229772922240483,-0.022185316239737803,-0.2404606712385045,0.08884809433322913,0.05230927541787528
omic2_tissue1_B1_f8,0.09336669617976141,0.012097697644124059,-0.15188920158434488,-0.03186894358064159,-0.01750600218509551,0.009732222447949662,0.07941864029647154,-0.09344954695246743,-0.01995110825464262,0.006845655438293227,-0.00848854023894828,-0.016077566795467714
omic2_tissue1_B1_f9,-0.004308988377381771,-0.035463665803177974,-0.07408417235899636,-0.20743639368401293,0.08780415036615127,-0.1244970857642154,0.1293290612831349,-0.08495923128053573,0.008888245093325926,0.07735955928105051,0.0034873280536126088,-0.09363315330183739
omic2_tissue1_B1_f10,-0.09258088826837516,-0.1799123697642822,-0.09690781310961136,-0.000292385009694976,-0.02273310368887107,0.025236939529950306,0.08358759865458151,0.026164077119445107,0.013540849754453252,-0.024945477060807172,0.012302009632271068,-0.01420681179681546
omic2_tissue1_B1_f11,0.003960114285882967,0.007881235221901508,0.015027468035148933,0.01198401177159183,-0.01864425628768243,-0.17719688262895122,-0.02637517608323095,-0.03030878640802849,-0.012751648726025445,-0.01013928703998778,-0.04711325412248849,0.035463385192737173
