,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic2_tissue1_B1_f0,0.022982305966576,0.12437748937203706,0.02689915590737152,-0.044198021560113626,-0.09675933815186849,-0.023287722803697408,0.0007981966329050991,0.0668698137694183,0.04266690219614481,0.09920052445749547,0.027192351851709776,-0.022120736556352084
omic2_tissue1_B1_f1,-0.18677817988675582,0.013286474526323687,-0.014657325808086265,0.004187544077417865,-0.2738830418267655,-0.024583682887768625,-0.01816128572785012,-0.19071190111237687,0.022093464889666948,0.016324148052104928,0.01732320823963029,0.019967136374727586
omic2_tissue1_B1_f2,-0.09864163674602103,0.018694479568573372,-0.002675030409034103,-0.1010230155514731,-0.004812831149997432,-0.09795461281152223,0.006885149947564969,-0.1516718881192465,-0.27521945011489,-0.15133179049593315,0.0034935885517554197,-0.015201736866951476
omic2_tissue1_B1_f3,0.0958736670078331,-0.12091391288499526,0.025594916829675546,0.013302739242268248,-0.16629780555051926,-0.003012564848142073,-0.006447168822347043,0.0034247871050866506,0.010126344257584215,-0.0874791728611926,0.0003992568575662647,0.0045329281467457565
omic2_tissue1_B1_f4,-0.09838760658626952,0.20196332049920188,-0.006563624676160669,-0.0005671717576050186,-0.30202269740434773,0.018166596585291683,-0.013372550203014592,-0.08227242852370469,0.0406733811872501,-0.008802762526624437,-0.0027436729029827883,-0.05322464765103691
omic2_tissue1_B1_f5,-0.006928051369248879,-0.0007786555483485346,0.08545713479463604,-0.03170361003856837,0.060443141125224455,-0.014263063557689911,0.0038966477718656595,0.012732095477952989,-0.07617560680848588,-0.21914119340581573,-0.11975026415842065,-0.09061718670079583
omic2_tissue1_B1_f6,-0.019334778157191305,-0.07758472570057048,-0.02498850290872659,-0.001871089607610086,-0.09050498689227415,-0.007984877027394803,6.259074619746293e-05,-0.07832008800813106,0.023313038037081887,-0.029344239265214515,-0.04335495577821938,0.028516441841063087
omic2_tissue1_B1_f7,-0.16908912785211502,0.07451017512689917,-0.01064031936968064,0.009519006323068508,-0.0019118078375604391,0.0053219010306552635,-0.06630495481536752,0.005706978300523016,-0.010867287549465709,0.01781775253266364,-0.030491533473094124,-0.010240992915582224
omic2_tissue1_B1_f8,-0.03385228218138386,-0.061407367909616074,-0.024602610620992713,-0.1270697611167641,-0.01152196958123401,-0.14992580473945594,-0.13099525888609642,0.04123702966871351,-0.04239467497695949,-0.003815200150168329,-0.05949980039751143,-0.12334282137690478
omic2_tissue1_B1_f9,-0.03256988775051872,-0.031474102153444296,-0.1386075508456576,0.02530509693452406,-0.005414643695455361,0.0011903867435196047,0.08750138578314463,0.005021768351696659,-0.008730202969309798,-0.04480654848931904,-0.003648288865461945,-0.0034030665068948227
omic2_tissue1_B1_f10,0.004885060430738496,-0.01573607201467103,-0.15452622472798327,0.08386822987543666,0.035422219038425684,0.003109882565657086,0.03241364987549501,-0.016260813142849127,0.006489783397065234,0.021603212669636558,-0.03067534878992371,-0.04322143378501614
omic2_tissue1_B1_f11,-0.005898787222543035,0.06729742333043895,-0.005816023420911887,0.05326442534243849,0.008945648308652143,0.0050240378922598704,-0.013146869049072732,-0.11981784568357703,-0.034499665085411586,0.021303007135738333,-0.07789366957498316,0.0024077910234330084
