,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue1_A1_f0,0.0,0.05687307297045624,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
omic1_tissue1_A1_f1,0.0,-0.0,-0.0,0.0,0.23603930980605176,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
omic1_tissue1_A1_f2,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
omic1_tissue1_A1_f3,0.0,-0.0,0.0,0.0,-0.0,-0.028520648139942956,-0.17230047934774262,-0.02950322428179697,-0.0,0.0,0.0,0.0
omic1_tissue1_A1_f4,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
omic1_tissue1_A1_f5,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
omic1_tissue1_A1_f6,0.0,0.0,0.04474183751404043,-0.0,-0.0,-0.042737289800906075,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
omic1_tissue1_A1_f7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.017549984369941207,0.0,0.0
omic1_tissue1_A1_f8,-0.0,0.0,-0.0,0.0,0.12226944742907725,0.1319411012701418,0.0,0.0,-0.0,0.0,0.0,-0.0
omic1_tissue1_A1_f9,0.0,-0.0,-0.05021077920648048,0.0,-0.0,0.0,0.09576066733883615,0.0,-0.0,0.0,0.0,-0.0
omic1_tissue1_A1_f10,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.018347337482993165,0.0,-0.0,0.0,0.0,-0.0
omic1_tissue1_A1_f11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
