,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue2_A2_f0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.29580063394536865,0.0,0.0,0.0029329492718688788,0.0
omic1_tissue2_A2_f1,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
omic1_tissue2_A2_f2,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.013847947556954024,0.0,-0.0,-0.0,0.0
omic1_tissue2_A2_f3,-0.0,-0.0,0.0,0.0,0.029393904379203473,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
omic1_tissue2_A2_f4,0.0,-0.0,0.0,0.029393904379203473,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
omic1_tissue2_A2_f5,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.03682775589939652,0.0,-0.0,-0.0,0.0
omic1_tissue2_A2_f6,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
omic1_tissue2_A2_f7,-0.29580063394536865,0.0,0.013847947556954024,-0.0,0.0,-0.03682775589939652,-0.0,0.0,0.0,-0.11318398991163064,-0.0,-0.0
omic1_tissue2_A2_f8,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
omic1_tissue2_A2_f9,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.11318398991163064,-0.0,0.0,-0.0,-0.0
omic1_tissue2_A2_f10,0.0029329492718688788,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
omic1_tissue2_A2_f11,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
