,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic1_tissue2_A2_f0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
omic1_tissue2_A2_f1,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
omic1_tissue2_A2_f2,0.0698737582267055,-0.0,0.0,0.0,0.0,0.0,0.09631009672648277,0.0,0.0,0.0,0.0,0.0
omic1_tissue2_A2_f3,-0.0,-0.0,-0.07046837929992289,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
omic1_tissue2_A2_f4,-0.0,-0.0,0.0735841644159505,0.0,0.0,0.0,-0.0,0.0,0.0,-0.2706494031394745,0.0,0.22855462041506852
omic1_tissue2_A2_f5,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.05655431268121672,0.0,-0.0,0.0,0.0,-0.0
omic1_tissue2_A2_f6,-0.0,0.0,-0.0,0.0,0.11141370644357479,0.0,-0.0,-0.0,0.0,0.0,0.0,0.08611650516119318
omic1_tissue2_A2_f7,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.013805144902975935
omic1_tissue2_A2_f8,-0.0,-0.0,0.0,-0.06491385945137085,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
omic1_tissue2_A2_f9,-0.0,0.0,0.0,0.0,0.0,0.0,0.16785737524904382,0.0,-0.0,0.0,-0.0,-0.0
omic1_tissue2_A2_f10,-0.0,0.0,-0.0,-0.0,-0.0,0.2762373034279059,0.0,0.0,-0.0,-0.0,0.0,0.0
omic1_tissue2_A2_f11,0.0,-0.0,-0.26096430677629495,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.2393239408762453
