,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic2_tissue1_B1_f0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.10354874115889431,-0.0
omic2_tissue1_B1_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
omic2_tissue1_B1_f2,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
omic2_tissue1_B1_f3,-0.0,0.0,-0.0,0.0,0.0,0.16148511658088605,0.0,-0.0,0.0,0.0,0.0,-0.0
omic2_tissue1_B1_f4,0.0,0.0,-0.0,0.0,0.0,0.05655464446316111,-0.0,0.2758556496803646,0.0,0.0,0.0,0.0
omic2_tissue1_B1_f5,0.0,0.0,0.0,0.16148511658088605,0.05655464446316111,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
omic2_tissue1_B1_f6,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.09085125365349742,0.0
omic2_tissue1_B1_f7,-0.0,0.0,-0.0,-0.0,0.2758556496803646,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
omic2_tissue1_B1_f8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
omic2_tissue1_B1_f9,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
omic2_tissue1_B1_f10,-0.10354874115889431,-0.0,-0.0,0.0,0.0,0.0,0.09085125365349742,0.0,0.0,0.0,0.0,0.0
omic2_tissue1_B1_f11,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
