,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue1_A1_f0,-0.006371773354692578,0.0028028137375518893,0.21198291418680065,-0.011891391181748978,0.03035551349766314,0.11594208310053493,-0.08126945407915794,-0.011678041239119318,0.034543935624260516,0.010664686485410517,-0.008987137001894269,0.0009434580955823384
omic1_tissue1_A1_f1,-0.014558940420132213,-0.02312172493915786,-0.015319214624615848,-0.015578626104161764,-0.345361791188933,0.005548724127568776,0.004293870240406028,0.11684498224766933,0.004085335806452402,-0.009536091681448458,0.0001293722555625737,0.0011708895955047506
omic1_tissue1_A1_f2,-0.0048431353852445335,0.0997405871644001,0.06871951798805379,-0.08448872194025975,0.012536702734228827,0.1756055179936183,0.11326266391778608,0.01262173135635044,-0.01857259164741297,-0.15138578517948958,-0.10020755827272465,-0.03174413396684317
omic1_tissue1_A1_f3,0.05935700185998701,0.0015681973452600537,0.03446773804623383,-0.019192761400488152,-0.10417888571721476,0.1967771753467669,0.18975588696841383,0.13387413664118353,-0.03466013477986166,-0.14131823007469396,-0.010271859486480898,0.027680592229159515
omic1_tissue1_A1_f4,0.020036524113977494,-0.005300719739994212,0.0660483527227312,-0.11315120857267245,-0.034757498773470064,0.010384298639675205,-0.08597136518844908,0.04956338426245975,-0.008717242754361995,-0.000320700011837826,-0.0062046310407106176,-0.0011137000699385606
omic1_tissue1_A1_f5,0.015095190048122695,-0.16917529986747987,-0.05799121772950934,0.011595308582892636,-0.031627189461894044,-0.010758175325379414,0.18206920213054495,-4.6002172484332655e-05,-0.12345792650104698,-0.13998521982471132,-0.07267586025357382,0.01592709432922855
omic1_tissue1_A1_f6,-0.22764237614197874,-0.0850012539304298,-0.15667054835815103,-0.009261109194233685,-0.00174652086166098,0.20029063141560982,-0.005175875945261983,0.0576220856093104,-0.004137360962542958,0.0002179916562978614,0.2868273983621717,0.012534785765506262
omic1_tissue1_A1_f7,0.10189716390530132,-0.0010497105285285273,0.018490723174004797,0.015667107354522914,0.016905634002393293,0.00433573854454627,0.0035000281068507224,0.00478038807274226,-0.06283208004986568,0.14056518476504248,1.0735978430001514e-05,-0.011852473898803412
omic1_tissue1_A1_f8,-0.012461142071378009,0.0605543055733961,-0.19227194386867308,0.012203592748284621,-0.17561394354157506,-0.18947599761091927,-0.05266886358733257,-0.09128438228792522,0.013007840082367363,-0.012415068466835575,-0.08485789938817796,-0.024006440291986095
omic1_tissue1_A1_f9,0.003988098108223342,-0.0102891869762489,0.16050118624656895,-0.12232001711451423,-0.003281844191890749,0.03838970681875639,0.08819017225266104,0.014334828687394354,-0.05315571045289861,-0.15481195380608362,0.010077080695230181,0.0029432460357828637
omic1_tissue1_A1_f10,-0.1362919567816953,-0.006000061342433665,-0.13605476338955966,-0.1100952567297041,-0.05073926399021464,-0.02032627522599177,0.15940514761478344,-0.05948386318663616,0.0553033017490074,0.04124162711564855,-0.0362882721143731,-0.008662059324931928
omic1_tissue1_A1_f11,-0.12340778588638665,-0.1191318013178782,0.003908039401477738,-0.009810729560440462,-0.007205536137606787,0.012484580581153322,-0.009745242624841149,-0.06682707957837644,-0.2207775454989231,0.19549428772893707,-0.08263425387825066,-0.021722489963722214
