,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic1_tissue1_A1_f0,-0.017525257418246464,-0.016493909332301777,0.0009931551410109678,0.010770525070260117,-0.1859862104419778,-0.0180626503068052,-0.013617002424936308,-0.29240905869160627,-0.12431547402298658,-0.02255949465292177,0.0004348294066677111,-0.23235934504298816
omic1_tissue1_A1_f1,-0.08432461629794075,0.0183234869704519,0.09116763702463684,-0.0021618850102467545,-0.01895897344178343,-0.017804133747827588,-0.010455809223769763,-0.015124760122191879,0.1012804077670334,-0.01965353783069987,0.04521310160670902,-0.06650978041308604
omic1_tissue1_A1_f2,0.01563244375521425,0.006782477390484381,-0.04694227528578872,0.0029323609407931944,0.2657305140571055,-0.08861212469794626,0.05207708472579198,-0.03397436399311467,-0.020397861114661076,-0.05974139190529308,0.009266014148251758,0.006591155073718111
omic1_tissue1_A1_f3,-0.005995488426507572,0.013790779828857859,-0.07767175129544682,0.045360068593773624,0.004317189158312972,-0.010407858605242477,-0.006525099487621245,-0.13421515414858148,-0.019382149253212164,0.06874480480878206,0.15079631492704781,-0.004927519584456182
omic1_tissue1_A1_f4,0.15876312729409423,0.2539006650102146,0.0018788329111201403,-0.01662201467679811,-0.026788592344704043,0.004743966022107915,0.003112665633846934,0.10823032448326611,0.010397127644166285,-0.00973484139386494,0.23534940440242502,-0.007171842425959042
omic1_tissue1_A1_f5,-0.03827279543313913,-0.013765668109378053,0.012990505072281073,0.018443099854845726,0.15623619083355894,0.00027147173272206587,-0.011427517786796345,-0.05797098838391265,-0.252368398879268,-0.11973403902057202,0.06997465679350788,0.031883593228207455
omic1_tissue1_A1_f6,-0.0006271480979139904,0.02012798323132681,-0.12641864285718152,0.024097458187388524,0.014602251348979425,-0.12436806150469051,-0.021386523761784945,0.09942029791995542,-0.0032568523493531447,-0.01070604771512677,-0.05584466394909646,0.06864330302005761
omic1_tissue1_A1_f7,-0.016574799509811507,0.06003426029469619,0.015398545219534519,-0.29152727385005456,-0.15170232186503518,-0.028314554951291704,0.03138535472607372,-0.00023046830141779107,-0.008195334895400072,-0.0005310534235848241,-0.18352372087222021,-0.009655640608472417
omic1_tissue1_A1_f8,-0.11113399019913935,-0.0016986069844944663,-0.19513121187893323,-0.01700094288797465,0.00404974331244343,-0.10257129422224709,-0.012298893339666056,-0.015783241662867924,-0.004365799551348972,0.053571600484428175,0.170639353027224,-0.07003357152719467
omic1_tissue1_A1_f9,-0.015413644569148427,-0.02286288695780974,0.006951739512263113,0.20936474265868676,0.03430024826277031,0.20304659385643478,-0.00320359026526544,-0.0035381224721851203,0.026491553124099555,-0.08064276005209829,0.05121448963900767,-0.032791815559004164
omic1_tissue1_A1_f10,0.013329800480916134,-0.18339224947635577,0.0004833752910012724,0.03244266045205442,0.05317402466234556,-0.10747705706762223,-0.031197470274116887,0.016885976744852527,0.0048909592767209424,0.014504216019681089,0.11651882495944557,0.1197751082947652
omic1_tissue1_A1_f11,-0.18115080248726662,-0.041793431417551014,-0.15961144862412135,0.018020825782049457,0.0003000446978942122,0.17958171725531932,-0.004660197790305919,0.00631098111567676,-0.07139332640694723,0.020424103233675404,0.08179201279325973,0.08194281394438147
