,omic2_tissue1_B1_f0,omic2_tissue1_B1_f1,omic2_tissue1_B1_f2,omic2_tissue1_B1_f3,omic2_tissue1_B1_f4,omic2_tissue1_B1_f5,omic2_tissue1_B1_f6,omic2_tissue1_B1_f7,omic2_tissue1_B1_f8,omic2_tissue1_B1_f9,omic2_tissue1_B1_f10,omic2_tissue1_B1_f11
omic2_tissue1_B1_f0,1.676812229538016,-0.1456609927163704,-0.0007994770108746409,0.0719966674232548,0.08552768338702778,-0.4132725972391445,-0.057540427942585765,0.011025725730861767,-0.004615608651804062,-0.0031979029347794464,0.0857347434135273,0.06296078875953161
omic2_tissue1_B1_f1,-0.1456609927163704,2.5690758542135645,-0.12175768048293631,0.02261658966237178,0.00315149935221129,0.008842198085464577,-0.19157609314387924,0.01347362892456197,0.019133810736278758,0.15355139676462692,-0.025400560912612394,-0.042785220641976526
omic2_tissue1_B1_f2,-0.0007994770108746409,-0.12175768048293631,2.3381178051948734,-0.011396858668836834,-0.03317735059827156,-0.16523279294518084,-0.00280014588205237,0.013158751219310573,-0.0030024497173277006,-0.08047276136773979,-0.010279811926994184,0.009922700566300818
omic2_tissue1_B1_f3,0.0719966674232548,0.02261658966237178,-0.011396858668836834,2.2836968469889034,0.021617960650630666,-0.11944932641006437,0.006955379527103546,0.00312472662618421,0.08493869973814722,0.019479645304632122,0.09035557397623739,-0.09374830393606079
omic2_tissue1_B1_f4,0.08552768338702778,0.00315149935221129,-0.03317735059827156,0.021617960650630666,2.7734905815980055,-0.5670237454575622,-0.032528975483611076,-0.01934123568929609,0.022812933032720938,0.01673637010147551,0.0007197166823079137,-0.0024608330203049174
omic2_tissue1_B1_f5,-0.4132725972391445,0.008842198085464577,-0.16523279294518084,-0.11944932641006437,-0.5670237454575622,2.4850090375843656,-0.012299982918540134,-0.015294263897551924,0.05105751909183612,0.06941452029820763,-0.2111586914775126,0.0764105407262657
omic2_tissue1_B1_f6,-0.057540427942585765,-0.19157609314387924,-0.00280014588205237,0.006955379527103546,-0.032528975483611076,-0.012299982918540134,1.7739513953617256,-0.006730211808991065,-0.3102887849732794,0.03087287835709593,0.1158410679453375,-0.07671507832955293
omic2_tissue1_B1_f7,0.011025725730861767,0.01347362892456197,0.013158751219310573,0.00312472662618421,-0.01934123568929609,-0.015294263897551924,-0.006730211808991065,2.28164869468709,-0.0008479239962249901,-0.01450993770968089,-0.005068509774708806,-0.1255982147782528
omic2_tissue1_B1_f8,-0.004615608651804062,0.019133810736278758,-0.0030024497173277006,0.08493869973814722,0.022812933032720938,0.05105751909183612,-0.3102887849732794,-0.0008479239962249901,2.393544875804626,-0.12597032209999864,-0.00710710865636007,0.015423397297299522
omic2_tissue1_B1_f9,-0.0031979029347794464,0.15355139676462692,-0.08047276136773979,0.019479645304632122,0.01673637010147551,0.06941452029820763,0.03087287835709593,-0.01450993770968089,-0.12597032209999864,1.6963095036120404,0.009661311647871946,-0.007871041590251813
omic2_tissue1_B1_f10,0.0857347434135273,-0.025400560912612394,-0.010279811926994184,0.09035557397623739,0.0007197166823079137,-0.2111586914775126,0.1158410679453375,-0.005068509774708806,-0.00710710865636007,0.009661311647871946,1.5776606371462851,-0.005811658273260238
omic2_tissue1_B1_f11,0.06296078875953161,-0.042785220641976526,0.009922700566300818,-0.09374830393606079,-0.0024608330203049174,0.0764105407262657,-0.07671507832955293,-0.1255982147782528,0.015423397297299522,-0.007871041590251813,-0.005811658273260238,1.5760710789370835
