,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic2_tissue1_B1_f0,-0.10117755657953682,-0.19450881123321823,0.018685675782454565,0.20584287059308295,-0.04373227986346173,-0.1161417634817605,0.009337158987360726,-0.016427077205189974,0.010880804338200122,-0.22165205225691614,0.06376989152222551,0.13281498524144442
omic2_tissue1_B1_f1,0.006292495136424818,0.22772454259339178,4.209603391911766e-06,0.2302138708085171,-0.005915335941257604,0.06665036487819159,0.017681429833404518,-0.15408250061363382,0.003718500230611107,0.003411583047125759,-0.0032838762004158972,-0.3177590369177926
omic2_tissue1_B1_f2,-0.012304521138689647,-0.06006092941926429,0.019468693736452058,-0.09032555739005607,0.0005114446348766428,0.06684239943041406,0.013070581070847964,-0.18499387673075895,0.15460709767977787,-0.01050367447910788,0.009939334145828864,-0.0011110978836371692
omic2_tissue1_B1_f3,-0.01461612330494002,-0.0055667422461034965,-0.005497383541382751,-0.008337042386203147,0.00624298424888255,0.2446748203978391,-0.01850999097752467,0.003755453736779027,-0.2173471180964595,-0.001399657672902214,0.017608065320093555,-0.02872357454647022
omic2_tissue1_B1_f4,-0.009561138209085246,-0.003545799458537396,0.060228708945164494,0.015065490187849986,0.03212962032312587,-0.00186847013337974,0.0018054618112286966,0.22598888832014957,-0.16774568941850357,0.030066958785499597,-0.015254616028492596,0.01896299131978571
omic2_tissue1_B1_f5,-0.03076497864000005,-0.19312505095315144,0.03788152475280809,0.01409859296851513,-0.014622471637180265,0.09646058641242629,0.2982201367655285,-0.03523901327999609,0.009152098021108968,-0.013108784110809221,-0.3033039290042042,-0.055830675778108144
omic2_tissue1_B1_f6,-0.1308695862970827,-0.10954370325898409,-0.005157638522721635,0.011709897766593508,0.00021524466805769062,0.04863658663725166,-0.21152201401387674,0.04726954454736838,0.022680038000853914,-0.008863183980463861,-0.015430428811650299,0.008638082506912684
omic2_tissue1_B1_f7,0.0010473660656937916,0.19682005651619724,-0.22760748798765912,-0.31998367107615977,0.14877563140737915,0.013292128512678685,-0.00037899315172716316,-0.12306367224458269,-0.022157712522459343,0.08412983912428003,0.027001353896312752,0.052321969066299275
omic2_tissue1_B1_f8,0.0934672354493698,0.012116184180394172,-0.15186362750531957,-0.03184972893485063,-0.017475102792553158,0.009694472923719697,0.004637239568352548,-0.09344565408299572,-0.01988005679801749,0.006813621343464605,-0.00849338911433438,-0.01607675556153986
omic2_tissue1_B1_f9,-0.004245522548890088,-0.03573011012292475,-0.07280998732837263,-0.06952011677816997,0.1059078391864784,-0.001848632783954596,0.18929924506368928,-0.013300072905290072,0.008935745217609446,0.11676340444240395,0.003512535038779716,-0.09349411058842995
omic2_tissue1_B1_f10,-0.10995101794768113,0.04013681080224937,-0.17691335323102286,-0.00016743072115953106,-0.022836049823075764,0.025183542475611984,0.022519836789497344,0.02619022957320304,0.013484939555246244,-0.025085344108692665,0.012232244053760347,-0.01404857478324098
omic2_tissue1_B1_f11,0.003909440918391561,0.008048084918171593,0.01511718716315798,0.011925093163388212,-0.003241422703112686,-0.26444384084232786,-0.02647789435166634,-0.03024499778117477,-0.01281178085169727,-0.010247061501845083,-0.05578406660619949,0.0027925214247979933
