,omic2_tissue2_B2_f0,omic2_tissue2_B2_f1,omic2_tissue2_B2_f2,omic2_tissue2_B2_f3,omic2_tissue2_B2_f4,omic2_tissue2_B2_f5,omic2_tissue2_B2_f6,omic2_tissue2_B2_f7,omic2_tissue2_B2_f8,omic2_tissue2_B2_f9,omic2_tissue2_B2_f10,omic2_tissue2_B2_f11
omic2_tissue1_B1_f0,0.022912280814060722,0.1245859526769044,0.06870779303454003,-0.006883849877234674,-0.0971291838106762,-0.02336123126507241,0.0009245609958260315,0.06674168357201436,0.0690564476004353,0.10018326421290576,0.027205007457355383,-0.02227200127730153
omic2_tissue1_B1_f1,-0.04215352232332649,0.013213903408840703,-0.014642627140520342,0.004352120700950222,-0.22464482475870512,-0.02458000591534199,-0.018100216620015448,-0.19397931891542086,0.022045213546565884,0.016435013023342698,0.01713205876032386,0.019778477471535216
omic2_tissue1_B1_f2,-0.09859385855210387,0.018757797077258657,-0.0026719884171050885,-0.10096459610099599,-0.004747347407707559,-0.09796154428032221,0.00676686120170172,-0.1516802752917242,-0.07442014239689854,-0.20020805534405134,0.003583207148915149,-0.015360153899880255
omic2_tissue1_B1_f3,0.09586274101298489,-0.12089715609805173,0.025607569685439195,0.01332895031827738,-0.26473153252051196,-0.0030100208934405043,-0.0065051758134316755,0.0034188655720532564,0.010095126062584026,-0.08754482361583192,0.0004144316579708994,0.004575278717812712
omic2_tissue1_B1_f4,-0.37926213574895173,0.34569378499196873,-0.006533638535301693,-0.0004731883018090138,-0.30189905753597746,0.007434875117109677,-0.013176733045116027,-0.012845093028731738,0.04066330360627013,-0.008658411181107085,-0.002899471077457673,-0.05321000171530744
omic2_tissue1_B1_f5,-0.0068773271048374884,-0.000860661519241028,0.21260036371372423,-0.031336090824083354,0.006919796095700613,-0.18840973109341977,0.003933190765360847,0.012815135591358419,-0.07614090993625469,-0.24405793948893356,-0.11968386815541406,-0.09061584160889885
omic2_tissue1_B1_f6,-0.019249732409799623,-0.02572264273699993,-0.025005629974296173,-0.0018878701982510612,-0.0902936534870111,-0.008034625601310538,0.03867277658958775,-0.07840516829848457,0.02336587707360799,-0.02927172777532715,-0.11290257999136567,0.028325052562247488
omic2_tissue1_B1_f7,-0.16915093533412157,0.07455589613523383,-0.010870764544319518,0.009489509121401516,-0.0020280986461492026,0.005113357505731317,-0.06627991079366954,0.00587029208458814,-0.010812608641677844,0.025818959444376614,-0.03053285191403465,-0.010254711080132511
omic2_tissue1_B1_f8,-0.03374402060625436,-0.3035406110065533,-0.1541331689228498,-0.12728893618252723,-0.011497021765123204,-0.0052732288901223175,-0.13112249091938438,0.010734318273582117,-0.026066764120879916,-0.0038417236675521247,-0.05955676896381302,-0.108555274436381
omic2_tissue1_B1_f9,-0.032726091036368934,-0.026238600783743984,-0.02344234823441152,0.02528455220684896,-0.00571331380038778,0.0011233294276944837,0.079193760385777,0.005020157931583384,-0.008655452628414695,-0.04492241425074564,-0.003603499735301947,-0.003240538519163559
omic2_tissue1_B1_f10,0.004884791508583607,-0.015610327497313408,-0.11880919500269654,0.20362137031278754,0.038643391933627265,0.00306287463670097,-0.14633863091891292,-0.016396199323081333,0.006590800472524251,0.02174987696348213,-0.030521887100330075,-0.043441114919686566
omic2_tissue1_B1_f11,-0.005899009233123419,0.06736979078052027,-0.005991344939785799,0.0532351542185157,0.00888070613969199,0.0048612418472587255,-0.013088893243458964,-0.21779914360799307,-0.05479769296831372,0.021433890191898095,-0.07801781877974243,0.002437976895314459
